GUID e0491b76664d4b56a7cd67e70248b123
Table_32_Asset_ID 38364
Table_33_Asset_ID 38383
Table_34_Asset_ID 38384
Table_35_Asset_ID 38385
Table_36_Asset_ID 38224
Table_37_Asset_ID 38366
Table_38_Asset_ID 38367
Table_39_Asset_ID 38368
Table_40_Asset_ID 39031
Table_41_Asset_ID 38255
Table_42_Asset_ID 38392
Table_43_Asset_ID 38706
Table_44_Asset_ID 38850
Table_45_Asset_ID 39037
Table_46_Asset_ID 38371
Table_47_Asset_ID 38373
Table_48_Asset_ID 38218
Table_49_Asset_ID 38376
Table_50_Asset_ID 38377
Table_51_Asset_ID 38378
Table_52_Asset_ID 38511
Table_53_Asset_ID 38380
Table_54_Asset_ID 38381
Table_55_Asset_ID 38216
Table_56_Asset_ID 38563
Table_57_Asset_ID 38839
Table_58_Asset_ID 38518
Table_59_Asset_ID 38493
Table_60_Asset_ID 38455
Table_61_Asset_ID 38311
Table_62_Asset_ID 38641
Table_63_Asset_ID 38642
Table_64_Asset_ID 38321
Table_65_Asset_ID 38322
Table_66_Asset_ID 38440
Table_67_Asset_ID 38307
Table_68_Asset_ID 38643
Table_69_Asset_ID 38442
Table_70_Asset_ID 38624
Table_71_Asset_ID 38444
Table_72_Asset_ID 38445
Table_73_Asset_ID 38315
Table_74_Asset_ID 38318
Table_75_Asset_ID 38372
Table_76_Asset_ID 38616
Table_77_Asset_ID 38374
Table_78_Asset_ID 38379
Table_79_Asset_ID 38219
Table_80_Asset_ID 39025
Table_81_Asset_ID 38571
Table_82_Asset_ID 38682
Table_83_Asset_ID 38683
Table_84_Asset_ID 38832
Table_85_Asset_ID 38833
Table_86_Asset_ID 38836
Table_87_Asset_ID 39062
Table_88_Asset_ID 38051
Table_89_Asset_ID 38068
Table_90_Asset_ID 38491
Table_91_Asset_ID 38815
Table_92_Asset_ID 38077
Table_93_Asset_ID 38685
Table_94_Asset_ID 38448
Table_95_Asset_ID 38690
Table_96_Asset_ID 38691
Table_97_Asset_ID 38692
Table_98_Asset_ID 38797
Table_99_Asset_ID 38676
Table_100_Asset_ID 38673
Table_101_Asset_ID 38672
Table_102_Asset_ID 38687
Table_103_Asset_ID 39032
Table_104_Asset_ID 39030
Table_105_Asset_ID 39027
Table_106_Asset_ID 38674
Table_107_Asset_ID 38675
Table_108_Asset_ID 38676
Table_109_Asset_ID 39042
Table_110_Asset_ID 38816
Table_111_Asset_ID 39057
Table_112_Asset_ID 38382
Table_113_Asset_ID 39086
Table_114_Asset_ID 38693
Table_115_Asset_ID 39029
Table_116_Asset_ID 38509
Table_117_Asset_ID 38391
Table_118_Asset_ID 39004
Table_119_Asset_ID 38369
Table_120_Asset_ID 38370
Table_121_Asset_ID 39061
Table_122_Asset_ID 38694
Table_123_Asset_ID 38375
Table_124_Asset_ID 38510
Table_125_Asset_ID 39058
Table_126_Asset_ID 38589
Table_127_Asset_ID 39060
Table_128_Asset_ID 38874
Table_129_Asset_ID 38267
Table_130_Asset_ID 38325
Table_131_Asset_ID 38875
Table_132_Asset_ID 38525
Table_133_Asset_ID 38838
Table_134_Asset_ID 39087
Table_135_Asset_ID 39088
Table_136_Asset_ID 38681
Table_137_Asset_ID 38679
Table_138_Asset_ID 38680
Table_139_Asset_ID 38801
Table_140_Asset_ID 38498

Table_0_Weight 10
Table_1_Weight 10
Table_2_Weight 10
Table_3_Weight 10
Table_4_Weight 10
Table_5_Weight 10
Table_6_Weight 10
Table_7_Weight 10
Table_8_Weight 10
Table_9_Weight 10
Table_10_Weight 10
Table_11_Weight 10
Table_12_Weight 10
Table_13_Weight 10
Table_14_Weight 10
Table_15_Weight 10
Table_16_Weight 10
Table_17_Weight 10
Table_18_Weight 10
Table_19_Weight 10
Table_20_Weight 10
Table_21_Weight 10
Table_22_Weight 10
Table_23_Weight 10
Table_24_Weight 10
Table_25_Weight 10
Table_26_Weight 10
Table_27_Weight 10
Table_28_Weight 10
Table_29_Weight 10
Table_30_Weight 10
Table_31_Weight 10
Table_32_Weight 10
Table_33_Weight 10
Table_34_Weight 10
Table_35_Weight 10
Table_36_Weight 10
Table_37_Weight 10
Table_38_Weight 10
Table_39_Weight 10
Table_40_Weight 10
Table_41_Weight 10
Table_42_Weight 10
Table_43_Weight 10
Table_44_Weight 10
Table_45_Weight 10
Table_46_Weight 10
Table_47_Weight 10
Table_48_Weight 10
Table_49_Weight 10
Table_50_Weight 10
Table_51_Weight 10
Table_52_Weight 10
Table_53_Weight 10
Table_54_Weight 10
Table_55_Weight 5
Table_56_Weight 5
Table_57_Weight 5
Table_58_Weight 5
Table_59_Weight 5
Table_60_Weight 5
Table_61_Weight 5
Table_62_Weight 5
Table_63_Weight 5
Table_64_Weight 5
Table_65_Weight 5
Table_66_Weight 5
Table_67_Weight 5
Table_68_Weight 5
Table_69_Weight 5
Table_70_Weight 5
Table_71_Weight 5
Table_72_Weight 5
Table_73_Weight 5
Table_74_Weight 5
Table_75_Weight 5
Table_76_Weight 5
Table_77_Weight 5
Table_78_Weight 5
Table_79_Weight 1
Table_80_Weight 15
Table_81_Weight 15
Table_82_Weight 15
Table_83_Weight 15
Table_84_Weight 15
Table_85_Weight 15
Table_86_Weight 15
Table_87_Weight 15
Table_88_Weight 15
Table_89_Weight 15
Table_90_Weight 15
Table_91_Weight 15
Table_92_Weight 15
Table_93_Weight 15
Table_94_Weight 15
Table_95_Weight 15
Table_96_Weight 15
Table_97_Weight 15
Table_98_Weight 15
Table_99_Weight 15
Table_100_Weight 15
Table_101_Weight 15
Table_102_Weight 15
Table_103_Weight 15
Table_104_Weight 15
Table_105_Weight 15
Table_106_Weight 15
Table_107_Weight 15
Table_108_Weight 15
Table_109_Weight 15
Table_110_Weight 15
Table_111_Weight 15
Table_112_Weight 15
Table_113_Weight 15
Table_114_Weight 15
Table_115_Weight 15
Table_116_Weight 15
Table_117_Weight 15
Table_118_Weight 15
Table_119_Weight 15
Table_120_Weight 15
Table_121_Weight 15
Table_122_Weight 15
Table_123_Weight 15
Table_124_Weight 15
Table_125_Weight 20
Table_126_Weight 20
Table_127_Weight 20
Table_128_Weight 20
Table_129_Weight 20
Table_130_Weight 20
Table_131_Weight 20
Table_132_Weight 20
Table_133_Weight 20
Table_134_Weight 20
Table_135_Weight 20
Table_136_Weight 20
Table_137_Weight 20
Table_138_Weight 20
Table_139_Weight 20
Table_140_Weight 20

Table_141_Asset_ID 38971
Table_141_Weight 20
Table_141_Asset_ID 38968
Table_141_Weight 20

Table_142_Asset_ID 38982
Table_143_Asset_ID 38987
Table_144_Asset_ID 38989
Table_145_Asset_ID 38991
Table_146_Asset_ID 39000
Table_147_Asset_ID 39001
Table_148_Asset_ID 39002
Table_149_Asset_ID 39003
Table_150_Asset_ID 39004
Table_151_Asset_ID 39005
Table_152_Asset_ID 39006
Table_153_Asset_ID 39007
Table_154_Asset_ID 39008
Table_155_Asset_ID 39009
Table_156_Asset_ID 39010
Table_157_Asset_ID 39011
Table_158_Asset_ID 39012
Table_159_Asset_ID 39013
Table_160_Asset_ID 39014
Table_161_Asset_ID 39015
Table_162_Asset_ID 39016
Table_163_Asset_ID 39017
Table_164_Asset_ID 39018
Table_165_Asset_ID 39019
Table_166_Asset_ID 39020
Table_167_Asset_ID 39021
Table_168_Asset_ID 39022
Table_169_Asset_ID 39023
Table_170_Asset_ID 39024
Table_171_Asset_ID 39025
Table_172_Asset_ID 39026
Table_173_Asset_ID 39027
Table_174_Asset_ID 39028
Table_175_Asset_ID 39029
Table_176_Asset_ID 39030
Table_177_Asset_ID 39031
Table_178_Asset_ID 39032
Table_179_Asset_ID 39033
Table_180_Asset_ID 39034
Table_181_Asset_ID 39035
Table_182_Asset_ID 39036
Table_183_Asset_ID 39037
Table_184_Asset_ID 39038
Table_185_Asset_ID 39039
Table_186_Asset_ID 39040
Table_187_Asset_ID 39041
Table_188_Asset_ID 39042
Table_189_Asset_ID 39044
Table_190_Asset_ID 39046
Table_191_Asset_ID 39049
Table_192_Asset_ID 39055
Table_193_Asset_ID 39065

Table_142_Weight 20
Table_143_Weight 5
Table_144_Weight 5
Table_145_Weight 5
Table_146_Weight 20
Table_147_Weight 20
Table_148_Weight 20
Table_149_Weight 5
Table_150_Weight 20
Table_151_Weight 15
Table_152_Weight 5
Table_153_Weight 15
Table_154_Weight 10
Table_155_Weight 10
Table_156_Weight 5
Table_157_Weight 5
Table_158_Weight 10
Table_159_Weight 15
Table_160_Weight 15
Table_161_Weight 20
Table_162_Weight 10
Table_163_Weight 10
Table_164_Weight 15
Table_165_Weight 15
Table_166_Weight 5
Table_167_Weight 10
Table_168_Weight 15
Table_169_Weight 15
Table_170_Weight 5
Table_171_Weight 15
Table_172_Weight 15
Table_173_Weight 15
Table_174_Weight 5
Table_175_Weight 20
Table_176_Weight 15
Table_177_Weight 15
Table_178_Weight 20
Table_179_Weight 10
Table_180_Weight 15
Table_181_Weight 20
Table_182_Weight 10
Table_183_Weight 15
Table_184_Weight 15
Table_185_Weight 15
Table_186_Weight 5
Table_187_Weight 10
Table_188_Weight 5
Table_189_Weight 15
Table_190_Weight 20
Table_191_Weight 20
Table_192_Weight 15
Table_193_Weight 5
