GUID 042929c2998d48a6accbdb501cefbbac
Table_70_Weight 8
Table_71_Asset_ID 62507
Table_71_Weight 8
//GT
Table_72_Asset_ID 62510
Table_72_Weight 1
Table_73_Asset_ID 62511
Table_73_Weight 1
Table_74_Asset_ID 62512
Table_74_Weight 1
Table_75_Asset_ID 62513
Table_75_Weight 1
Table_76_Asset_ID 62514
Table_76_Weight 1
Table_77_Asset_ID 62515
Table_77_Weight 1
Table_78_Asset_ID 62516
Table_78_Weight 1
Table_79_Asset_ID 62517
Table_79_Weight 1
//LFA
Table_80_Asset_ID 62520
Table_80_Weight 1
Table_81_Asset_ID 62521
Table_81_Weight 1
Table_82_Asset_ID 62522
Table_82_Weight 1
Table_83_Asset_ID 62523
Table_83_Weight 1
Table_84_Asset_ID 62524
Table_84_Weight 1
Table_85_Asset_ID 62525
Table_85_Weight 1
Table_86_Asset_ID 62526
Table_86_Weight 1
Table_87_Asset_ID 62527
Table_87_Weight 1
//Q60
Table_88_Asset_ID 62530
Table_88_Weight 7
Table_89_Asset_ID 62531
Table_89_Weight 7
Table_90_Asset_ID 62532
Table_90_Weight 7
Table_91_Asset_ID 62533
Table_91_Weight 7
Table_92_Asset_ID 62534
Table_92_Weight 7
Table_93_Asset_ID 62535
Table_93_Weight 7
Table_94_Asset_ID 62536
Table_94_Weight 7
Table_95_Asset_ID 62537
Table_95_Weight 7
//GT500 V-ART
Table_96_Asset_ID 62560
Table_96_Weight 1
Table_97_Asset_ID 62561
Table_97_Weight 1
Table_98_Asset_ID 62562
Table_98_Weight 1
Table_99_Asset_ID 62563
Table_99_Weight 1
Table_100_Asset_ID 62564
Table_100_Weight 1
Table_101_Asset_ID 62565
Table_101_Weight 1
Table_102_Asset_ID 62566
Table_102_Weight 1
Table_103_Asset_ID 62567
Table_103_Weight 1
//M3 F80
Table_104_Asset_ID 62570
Table_104_Weight 5
Table_105_Asset_ID 62571
Table_105_Weight 5
Table_106_Asset_ID 62572
Table_106_Weight 5
Table_107_Asset_ID 62573
Table_107_Weight 5
Table_108_Asset_ID 62574
Table_108_Weight 5
Table_109_Asset_ID 62575
Table_109_Weight 5
Table_110_Asset_ID 62576
Table_110_Weight 5
Table_111_Asset_ID 62577
Table_111_Weight 5
//Silverado
Table_112_Asset_ID 62590
Table_112_Weight 17
Table_113_Asset_ID 62591
Table_113_Weight 17
Table_114_Asset_ID 62592
Table_114_Weight 17
Table_115_Asset_ID 62593
Table_115_Weight 17
Table_116_Asset_ID 62594
Table_116_Weight 17
Table_117_Asset_ID 62595
Table_117_Weight 17
Table_118_Asset_ID 62596
Table_118_Weight 17
Table_119_Asset_ID 62597
Table_119_Weight 17
//Pajero V-ART
Table_120_Asset_ID 62600
Table_120_Weight 1
Table_121_Asset_ID 62601
Table_121_Weight 1
Table_122_Asset_ID 62602
Table_122_Weight 1
Table_123_Asset_ID 62603
Table_123_Weight 1
Table_124_Asset_ID 62604
Table_124_Weight 1
Table_125_Asset_ID 62605
Table_125_Weight 1
Table_126_Asset_ID 62606
Table_126_Weight 1
Table_127_Asset_ID 62607
Table_127_Weight 1
//Mini
Table_128_Asset_ID 62610
Table_128_Weight 15
Table_129_Asset_ID 62611
Table_129_Weight 15
Table_130_Asset_ID 62612
Table_130_Weight 15
Table_131_Asset_ID 62613
Table_131_Weight 15
Table_132_Asset_ID 62614
Table_132_Weight 15
Table_133_Asset_ID 62615
Table_133_Weight 15
Table_134_Asset_ID 62616
Table_134_Weight 15
Table_135_Asset_ID 62617
Table_135_Weight 15
//Charger
Table_136_Asset_ID 62620
Table_136_Weight 15
Table_137_Asset_ID 62621
Table_137_Weight 15
Table_138_Asset_ID 62622
Table_138_Weight 15
Table_139_Asset_ID 62623
Table_139_Weight 15
Table_140_Asset_ID 62624
Table_140_Weight 15
Table_141_Asset_ID 62625
Table_141_Weight 15
Table_142_Asset_ID 62626
Table_142_Weight 15
Table_143_Asset_ID 62627
Table_143_Weight 15
//Century
Table_144_Asset_ID 62630
Table_144_Weight 1
Table_145_Asset_ID 62631
Table_145_Weight 1
Table_146_Asset_ID 62632
Table_146_Weight 1
Table_147_Asset_ID 62633
Table_147_Weight 1
Table_148_Asset_ID 62634
Table_148_Weight 1
Table_149_Asset_ID 62635
Table_149_Weight 1
Table_150_Asset_ID 62636
Table_150_Weight 1
Table_151_Asset_ID 62637
Table_151_Weight 1
//CrownVic
Table_152_Asset_ID 62640
Table_152_Weight 14
Table_153_Asset_ID 62641
Table_153_Weight 14
Table_154_Asset_ID 62642
Table_154_Weight 14
Table_155_Asset_ID 62643
Table_155_Weight 14
Table_156_Asset_ID 62644
Table_156_Weight 14
Table_157_Asset_ID 62645
Table_157_Weight 14
Table_158_Asset_ID 62646
Table_158_Weight 14
Table_159_Asset_ID 62647
Table_159_Weight 14
//Q50
Table_160_Asset_ID 62650
Table_160_Weight 12
Table_161_Asset_ID 62651
Table_161_Weight 12
Table_162_Asset_ID 62652
Table_162_Weight 12
Table_163_Asset_ID 62653
Table_163_Weight 12
Table_164_Asset_ID 62654
Table_164_Weight 12
Table_165_Asset_ID 62655
Table_165_Weight 12
Table_166_Asset_ID 62656
Table_166_Weight 12
Table_167_Asset_ID 62657
Table_167_Weight 12
//Taurus
Table_168_Asset_ID 62660
Table_168_Weight 18
Table_169_Asset_ID 62661
Table_169_Weight 18
Table_170_Asset_ID 62662
Table_170_Weight 18
Table_171_Asset_ID 62663
Table_171_Weight 18
Table_172_Asset_ID 62664
Table_172_Weight 18
Table_173_Asset_ID 62665
Table_173_Weight 18
Table_174_Asset_ID 62666
Table_174_Weight 18
Table_175_Asset_ID 62667
Table_175_Weight 18
//Explorer
Table_176_Asset_ID 62670
Table_176_Weight 17
Table_177_Asset_ID 62671
Table_177_Weight 17
Table_178_Asset_ID 62672
Table_178_Weight 17
Table_179_Asset_ID 62673
Table_179_Weight 17
Table_180_Asset_ID 62674
Table_180_Weight 17
Table_181_Asset_ID 62675
Table_181_Weight 17
Table_182_Asset_ID 62676
Table_182_Weight 17
Table_183_Asset_ID 62677
Table_183_Weight 17
//911 GT3
Table_184_Asset_ID 62680
Table_184_Weight 2
Table_185_Asset_ID 62681
Table_185_Weight 2
Table_186_Asset_ID 62682
Table_186_Weight 2
Table_187_Asset_ID 62683
Table_187_Weight 2
Table_188_Asset_ID 62684
Table_188_Weight 2
Table_189_Asset_ID 62685
Table_189_Weight 2
Table_190_Asset_ID 62686
Table_190_Weight 2
Table_191_Asset_ID 62687
Table_191_Weight 2
//Charger Hellcat
Table_192_Asset_ID 62700
Table_192_Weight 2
Table_193_Asset_ID 62701
Table_193_Weight 2
Table_194_Asset_ID 62702
Table_194_Weight 2
Table_195_Asset_ID 62703
Table_195_Weight 2
Table_196_Asset_ID 62704
Table_196_Weight 2
Table_197_Asset_ID 62705
Table_197_Weight 2
Table_198_Asset_ID 62706
Table_198_Weight 2
Table_199_Asset_ID 62707
Table_199_Weight 2
//JPP #0
Table_200_Asset_ID 62710
Table_200_Weight 5
Table_201_Asset_ID 62711
Table_201_Weight 5
Table_202_Asset_ID 62712
Table_202_Weight 5
Table_203_Asset_ID 62713
Table_203_Weight 5
Table_204_Asset_ID 62714
Table_204_Weight 5
Table_205_Asset_ID 62715
Table_205_Weight 5
Table_206_Asset_ID 62716
Table_206_Weight 5
Table_207_Asset_ID 62717
Table_207_Weight 5
//BMW M3 CS
Table_208_Asset_ID 62720
Table_208_Weight 2
Table_209_Asset_ID 62721
Table_209_Weight 2
Table_210_Asset_ID 62722
Table_210_Weight 2
Table_211_Asset_ID 62723
Table_211_Weight 2
Table_212_Asset_ID 62724
Table_212_Weight 2
Table_213_Asset_ID 62725
Table_213_Weight 2
Table_214_Asset_ID 62726
Table_214_Weight 2
Table_215_Asset_ID 62727
Table_215_Weight 2
//JPP #1
Table_216_Asset_ID 62730
Table_216_Weight 3
Table_217_Asset_ID 62731
Table_217_Weight 3
Table_218_Asset_ID 62732
Table_218_Weight 3
Table_219_Asset_ID 62733
Table_219_Weight 3
Table_220_Asset_ID 62734
Table_220_Weight 3
Table_221_Asset_ID 62735
Table_221_Weight 3
Table_222_Asset_ID 62736
Table_222_Weight 3
Table_223_Asset_ID 62737
Table_223_Weight 3
//F-150
Table_224_Asset_ID 62740
Table_224_Weight 17
Table_225_Asset_ID 62741
Table_225_Weight 17
Table_226_Asset_ID 62742
Table_226_Weight 17
Table_227_Asset_ID 62743
Table_227_Weight 17
Table_228_Asset_ID 62744
Table_228_Weight 17
Table_229_Asset_ID 62745
Table_229_Weight 17
Table_230_Asset_ID 62746
Table_230_Weight 17
Table_231_Asset_ID 62747
Table_231_Weight 17
//Mustang 22
Table_232_Asset_ID 62750
Table_232_Weight 12
Table_233_Asset_ID 62751
Table_233_Weight 12
Table_234_Asset_ID 62752
Table_234_Weight 12
Table_235_Asset_ID 62753
Table_235_Weight 12
Table_236_Asset_ID 62754
Table_236_Weight 12
Table_237_Asset_ID 62755
Table_237_Weight 12
Table_238_Asset_ID 62756
Table_238_Weight 12
Table_239_Asset_ID 62757
Table_239_Weight 12
//GR86
Table_240_Asset_ID 62760
Table_240_Weight 9
Table_241_Asset_ID 62761
Table_241_Weight 9
Table_242_Asset_ID 62762
Table_242_Weight 9
Table_243_Asset_ID 62763
Table_243_Weight 9
Table_244_Asset_ID 62764
Table_244_Weight 9
Table_245_Asset_ID 62765
Table_245_Weight 9
Table_246_Asset_ID 62766
Table_246_Weight 9
Table_247_Asset_ID 62767
Table_247_Weight 9
//Reliant
Table_248_Asset_ID 62780
Table_248_Weight 3
Table_249_Asset_ID 62781
Table_249_Weight 3
Table_250_Asset_ID 62782
Table_250_Weight 3
Table_251_Asset_ID 62783
Table_251_Weight 3
Table_252_Asset_ID 62784
Table_252_Weight 3
Table_253_Asset_ID 62785
Table_253_Weight 3
Table_254_Asset_ID 62786
Table_254_Weight 3
Table_255_Asset_ID 62787
Table_255_Weight 3
//Mustang GT500
Table_256_Asset_ID 62790
Table_256_Weight 5
Table_257_Asset_ID 62791
Table_257_Weight 5
Table_258_Asset_ID 62792
Table_258_Weight 5
Table_259_Asset_ID 62793
Table_259_Weight 5
Table_260_Asset_ID 62794
Table_260_Weight 5
Table_261_Asset_ID 62795
Table_261_Weight 5
Table_262_Asset_ID 62796
Table_262_Weight 5
Table_263_Asset_ID 62797
Table_263_Weight 5
//F150 Raptor
Table_264_Asset_ID 62800
Table_264_Weight 7
Table_265_Asset_ID 62801
Table_265_Weight 7
Table_266_Asset_ID 62802
Table_266_Weight 7
Table_267_Asset_ID 62803
Table_267_Weight 7
Table_268_Asset_ID 62804
Table_268_Weight 7
Table_269_Asset_ID 62805
Table_269_Weight 7
Table_270_Asset_ID 62806
Table_270_Weight 7
Table_271_Asset_ID 62807
Table_271_Weight 7
//Reliant V-ART
Table_272_Asset_ID 62810
Table_272_Weight 1
Table_273_Asset_ID 62811
Table_273_Weight 1
Table_274_Asset_ID 62812
Table_274_Weight 1
Table_275_Asset_ID 62813
Table_275_Weight 1
Table_276_Asset_ID 62814
Table_276_Weight 1
Table_278_Asset_ID 62815
Table_278_Weight 1
Table_279_Asset_ID 62816
Table_279_Weight 1
Table_280_Asset_ID 62817
Table_280_Weight 1
