GUID aa9b25f75fe44268a546db7f0a2c83be
Table_96_Asset_ID 38546
Table_97_Asset_ID 38547
Table_98_Asset_ID 38548
Table_99_Asset_ID 38554
Table_100_Asset_ID 38556
Table_101_Asset_ID 38557
Table_102_Asset_ID 38560
Table_103_Asset_ID 38561
Table_104_Asset_ID 38565
Table_105_Asset_ID 38577
Table_106_Asset_ID 38578
Table_107_Asset_ID 38580
Table_108_Asset_ID 38600
Table_109_Asset_ID 38601
Table_110_Asset_ID 38602
Table_111_Asset_ID 38603
Table_112_Asset_ID 38605
Table_113_Asset_ID 38614
Table_114_Asset_ID 38620
Table_115_Asset_ID 38622
Table_116_Asset_ID 38625
Table_117_Asset_ID 38848
Table_118_Asset_ID 38567
Table_119_Asset_ID 38118
Table_120_Asset_ID 38295
Table_121_Asset_ID 38386
Table_122_Asset_ID 38007
Table_123_Asset_ID 38037
Table_124_Asset_ID 38345
Table_125_Asset_ID 38459
Table_126_Asset_ID 38793
Table_127_Asset_ID 38149
Table_128_Asset_ID 38174
Table_129_Asset_ID 38176
Table_130_Asset_ID 38177
Table_131_Asset_ID 38327
Table_132_Asset_ID 38331
Table_133_Asset_ID 38508
Table_134_Asset_ID 38809
Table_135_Asset_ID 38825
Table_136_Asset_ID 38846
Table_137_Asset_ID 38851
Table_138_Asset_ID 38853
Table_139_Asset_ID 38854
Table_140_Asset_ID 38858
Table_141_Asset_ID 38860
Table_142_Asset_ID 38883
Table_143_Asset_ID 38039
Table_144_Asset_ID 38040
Table_145_Asset_ID 38043
Table_146_Asset_ID 38047
Table_147_Asset_ID 38048
Table_148_Asset_ID 38062
Table_149_Asset_ID 38298
Table_150_Asset_ID 38344
Table_151_Asset_ID 38460
Table_152_Asset_ID 38006
Table_153_Asset_ID 38008
Table_154_Asset_ID 38015
Table_155_Asset_ID 38059
Table_156_Asset_ID 38080
Table_157_Asset_ID 38222
Table_158_Asset_ID 38297
Table_159_Asset_ID 38350
Table_160_Asset_ID 38357
Table_161_Asset_ID 38396
Table_162_Asset_ID 38400
Table_163_Asset_ID 38401
Table_164_Asset_ID 38402
Table_165_Asset_ID 38405
Table_166_Asset_ID 38406
Table_167_Asset_ID 38452
Table_168_Asset_ID 38453
Table_169_Asset_ID 38504
Table_170_Asset_ID 38804
Table_171_Asset_ID 38805
Table_172_Asset_ID 38821
Table_173_Asset_ID 38828
Table_174_Asset_ID 38180
Table_175_Asset_ID 38182
Table_176_Asset_ID 38184
Table_177_Asset_ID 38185
Table_178_Asset_ID 38328
Table_179_Asset_ID 38329
Table_180_Asset_ID 38348
Table_181_Asset_ID 38349
Table_182_Asset_ID 38358
Table_183_Asset_ID 38360
Table_184_Asset_ID 38465
Table_185_Asset_ID 38507
Table_186_Asset_ID 38519
Table_187_Asset_ID 38520
Table_188_Asset_ID 38522
Table_189_Asset_ID 38523
Table_190_Asset_ID 38803
Table_191_Asset_ID 38817
Table_192_Asset_ID 38818
Table_193_Asset_ID 38830
Table_194_Asset_ID 38842
Table_195_Asset_ID 38041
Table_196_Asset_ID 38044
Table_197_Asset_ID 38049
Table_198_Asset_ID 38053
Table_199_Asset_ID 38394
Table_200_Asset_ID 38395

Table_0_Weight 10
Table_1_Weight 10
Table_2_Weight 10
Table_3_Weight 10
Table_4_Weight 10
Table_5_Weight 10
Table_6_Weight 10
Table_7_Weight 10
Table_8_Weight 10
Table_9_Weight 10
Table_10_Weight 10
Table_11_Weight 10
Table_12_Weight 10
Table_13_Weight 10
Table_14_Weight 10
Table_15_Weight 10
Table_16_Weight 10
Table_17_Weight 10
Table_18_Weight 10
Table_19_Weight 10
Table_20_Weight 10
Table_21_Weight 10
Table_22_Weight 10
Table_23_Weight 10
Table_24_Weight 10
Table_25_Weight 10
Table_26_Weight 10
Table_27_Weight 10
Table_28_Weight 10
Table_29_Weight 10
Table_30_Weight 10
Table_31_Weight 10
Table_32_Weight 10
Table_33_Weight 10
Table_34_Weight 10
Table_35_Weight 10
Table_36_Weight 10
Table_37_Weight 10
Table_38_Weight 10
Table_39_Weight 10
Table_40_Weight 10
Table_41_Weight 10
Table_42_Weight 10
Table_43_Weight 10
Table_44_Weight 10
Table_45_Weight 10
Table_46_Weight 10
Table_47_Weight 10
Table_48_Weight 10
Table_49_Weight 10
Table_50_Weight 10
Table_51_Weight 10
Table_52_Weight 10
Table_53_Weight 10
Table_54_Weight 10
Table_55_Weight 10
Table_56_Weight 10
Table_57_Weight 10
Table_58_Weight 10
Table_59_Weight 10
Table_60_Weight 10
Table_61_Weight 10
Table_62_Weight 10
Table_63_Weight 10
Table_64_Weight 10
Table_65_Weight 10
Table_66_Weight 10
Table_67_Weight 10
Table_68_Weight 10
Table_69_Weight 10
Table_70_Weight 10
Table_71_Weight 10
Table_72_Weight 10
Table_73_Weight 10
Table_74_Weight 10
Table_75_Weight 10
Table_76_Weight 10
Table_77_Weight 10
Table_78_Weight 10
Table_79_Weight 10
Table_80_Weight 10
Table_81_Weight 10
Table_82_Weight 10
Table_83_Weight 10
Table_84_Weight 10
Table_85_Weight 10
Table_86_Weight 10
Table_87_Weight 10
Table_88_Weight 10
Table_89_Weight 10
Table_90_Weight 10
Table_91_Weight 10
Table_92_Weight 10
Table_93_Weight 10
Table_94_Weight 10
Table_95_Weight 10
Table_96_Weight 10
Table_97_Weight 10
Table_98_Weight 10
Table_99_Weight 10
Table_100_Weight 10
Table_101_Weight 10
Table_102_Weight 10
Table_103_Weight 10
Table_104_Weight 10
Table_105_Weight 10
Table_106_Weight 10
Table_107_Weight 10
Table_108_Weight 10
Table_109_Weight 10
Table_110_Weight 10
Table_111_Weight 10
Table_112_Weight 10
Table_113_Weight 10
Table_114_Weight 10
Table_115_Weight 10
Table_116_Weight 10
Table_117_Weight 10
Table_118_Weight 5
Table_119_Weight 15
Table_120_Weight 15
Table_121_Weight 15
Table_122_Weight 15
Table_123_Weight 15
Table_124_Weight 15
Table_125_Weight 15
Table_126_Weight 15
Table_127_Weight 15
Table_128_Weight 15
Table_129_Weight 15
Table_130_Weight 15
Table_131_Weight 15
Table_132_Weight 15
Table_133_Weight 15
Table_134_Weight 15
Table_135_Weight 15
Table_136_Weight 15
Table_137_Weight 15
Table_138_Weight 15
Table_139_Weight 15
Table_140_Weight 15
Table_141_Weight 15
Table_142_Weight 15
Table_143_Weight 15
Table_144_Weight 15
Table_145_Weight 15
Table_146_Weight 15
Table_147_Weight 15
Table_148_Weight 15
Table_149_Weight 15
Table_150_Weight 15
Table_151_Weight 15
Table_152_Weight 15
Table_153_Weight 15
Table_154_Weight 15
Table_155_Weight 15
Table_156_Weight 15
Table_157_Weight 15
Table_158_Weight 15
Table_159_Weight 15
Table_160_Weight 15
Table_161_Weight 15
Table_162_Weight 15
Table_163_Weight 15
Table_164_Weight 15
Table_165_Weight 15
Table_166_Weight 15
Table_167_Weight 15
Table_168_Weight 15
Table_169_Weight 15
Table_170_Weight 15
Table_171_Weight 15
Table_172_Weight 15
Table_173_Weight 15
Table_174_Weight 20
Table_175_Weight 20
Table_176_Weight 20
Table_177_Weight 20
Table_178_Weight 20
Table_179_Weight 20
Table_180_Weight 20
Table_181_Weight 20
Table_182_Weight 20
Table_183_Weight 20
Table_184_Weight 20
Table_185_Weight 20
Table_186_Weight 20
Table_187_Weight 20
Table_188_Weight 20
Table_189_Weight 20
Table_190_Weight 20
Table_191_Weight 20
Table_192_Weight 20
Table_193_Weight 20
Table_194_Weight 20
Table_195_Weight 20
Table_196_Weight 20
Table_197_Weight 20
Table_198_Weight 20
Table_199_Weight 20
Table_200_Weight 20

Table_201_Asset_ID 38994
Table_202_Asset_ID 38995
Table_203_Asset_ID 39047
Table_204_Asset_ID 39048
Table_205_Asset_ID 39053
Table_206_Asset_ID 39057
Table_207_Asset_ID 39060
Table_208_Asset_ID 39062

Table_201_Weight 15
Table_202_Weight 10
Table_203_Weight 15
Table_204_Weight 20
Table_205_Weight 10
Table_206_Weight 15
Table_207_Weight 10
Table_208_Weight 15


