GUID d937828d3d0946aa8e637c761e210178
Table_94_Asset_ID 38260
Table_95_Asset_ID 38261
Table_96_Asset_ID 38263
Table_97_Asset_ID 38264
Table_98_Asset_ID 38265
Table_99_Asset_ID 38313
Table_100_Asset_ID 38316
Table_101_Asset_ID 38317
Table_102_Asset_ID 38319
Table_103_Asset_ID 38334
Table_104_Asset_ID 38339
Table_105_Asset_ID 38341
Table_106_Asset_ID 38443
Table_107_Asset_ID 38471
Table_108_Asset_ID 38517
Table_109_Asset_ID 38562
Table_110_Asset_ID 38566
Table_111_Asset_ID 38567
Table_112_Asset_ID 38586
Table_113_Asset_ID 38595
Table_114_Asset_ID 38599
Table_115_Asset_ID 38606
Table_116_Asset_ID 38617
Table_117_Asset_ID 38627
Table_118_Asset_ID 38630
Table_119_Asset_ID 38631
Table_120_Asset_ID 38632
Table_121_Asset_ID 38633
Table_122_Asset_ID 38634
Table_123_Asset_ID 38635
Table_124_Asset_ID 38636
Table_125_Asset_ID 38637
Table_126_Asset_ID 38639
Table_127_Asset_ID 38656
Table_128_Asset_ID 38660
Table_129_Asset_ID 38788
Table_130_Asset_ID 38789
Table_131_Asset_ID 38811
Table_132_Asset_ID 38829
Table_133_Asset_ID 38849
Table_134_Asset_ID 38866
Table_135_Asset_ID 38867
Table_136_Asset_ID 38870
Table_137_Asset_ID 38871
Table_138_Asset_ID 38886
Table_139_Asset_ID 38952
Table_140_Asset_ID 38955
Table_141_Asset_ID 38956
Table_142_Asset_ID 38958
Table_143_Asset_ID 38959
Table_144_Asset_ID 38964
Table_145_Asset_ID 38046
Table_146_Asset_ID 38054
Table_147_Asset_ID 38066
Table_148_Asset_ID 38204
Table_149_Asset_ID 38215
Table_150_Asset_ID 38228
Table_151_Asset_ID 38238
Table_152_Asset_ID 38337
Table_153_Asset_ID 38437
Table_154_Asset_ID 38473
Table_155_Asset_ID 38569
Table_156_Asset_ID 38667
Table_157_Asset_ID 38669
Table_158_Asset_ID 38957
Table_159_Asset_ID 38689
Table_160_Asset_ID 38336
Table_161_Asset_ID 38570
Table_162_Asset_ID 38470
Table_163_Asset_ID 38835
Table_164_Asset_ID 38834
Table_165_Asset_ID 38837
Table_166_Asset_ID 38962
Table_167_Asset_ID 38052
Table_168_Asset_ID 38492
Table_169_Asset_ID 38365
Table_170_Asset_ID 38503
Table_171_Asset_ID 38629
Table_172_Asset_ID 38494
Table_173_Asset_ID 38338
Table_174_Asset_ID 38686
Table_175_Asset_ID 38335
Table_176_Asset_ID 38163
Table_177_Asset_ID 38670
Table_178_Asset_ID 38538
Table_179_Asset_ID 38688
Table_180_Asset_ID 38019
Table_181_Asset_ID 38232
Table_182_Asset_ID 38168
Table_183_Asset_ID 38476
Table_184_Asset_ID 38678
Table_185_Asset_ID 38677
Table_186_Asset_ID 38270
Table_187_Asset_ID 38271
Table_188_Asset_ID 38272
Table_189_Asset_ID 38217
Table_190_Asset_ID 38438
Table_191_Asset_ID 38364
Table_192_Asset_ID 38383
Table_193_Asset_ID 38384
Table_194_Asset_ID 38385
Table_195_Asset_ID 38224
Table_196_Asset_ID 38366
Table_197_Asset_ID 38367
Table_198_Asset_ID 38368
Table_199_Asset_ID 38131
Table_200_Asset_ID 38255
Table_201_Asset_ID 38392
Table_202_Asset_ID 38706
Table_203_Asset_ID 38850
Table_204_Asset_ID 38137
Table_205_Asset_ID 38371
Table_206_Asset_ID 38373
Table_207_Asset_ID 38218
Table_208_Asset_ID 38376
Table_209_Asset_ID 38377
Table_210_Asset_ID 38378
Table_211_Asset_ID 38511
Table_212_Asset_ID 38380
Table_213_Asset_ID 38381

Table_0_Weight 10
Table_1_Weight 1
Table_2_Weight 1
Table_3_Weight 5
Table_4_Weight 5
Table_5_Weight 5
Table_6_Weight 5
Table_7_Weight 5
Table_8_Weight 5
Table_9_Weight 5
Table_10_Weight 5
Table_11_Weight 5
Table_12_Weight 5
Table_13_Weight 5
Table_14_Weight 5
Table_15_Weight 5
Table_16_Weight 5
Table_17_Weight 5
Table_18_Weight 5
Table_19_Weight 1
Table_20_Weight 1
Table_21_Weight 1
Table_22_Weight 1
Table_23_Weight 1
Table_24_Weight 1
Table_25_Weight 1
Table_26_Weight 1
Table_27_Weight 1
Table_28_Weight 10
Table_29_Weight 10
Table_30_Weight 10
Table_31_Weight 10
Table_32_Weight 10
Table_33_Weight 10
Table_34_Weight 10
Table_35_Weight 10
Table_36_Weight 10
Table_37_Weight 10
Table_38_Weight 10
Table_39_Weight 10
Table_40_Weight 10
Table_41_Weight 10
Table_42_Weight 10
Table_43_Weight 5
Table_44_Weight 5
Table_45_Weight 5
Table_46_Weight 5
Table_47_Weight 5
Table_48_Weight 5
Table_49_Weight 5
Table_50_Weight 5
Table_51_Weight 5
Table_52_Weight 5
Table_53_Weight 5
Table_54_Weight 5
Table_55_Weight 5
Table_56_Weight 5
Table_57_Weight 5
Table_58_Weight 5
Table_59_Weight 5
Table_60_Weight 5
Table_61_Weight 5
Table_62_Weight 5
Table_63_Weight 5
Table_64_Weight 5
Table_65_Weight 5
Table_66_Weight 5
Table_67_Weight 5
Table_68_Weight 5
Table_69_Weight 5
Table_70_Weight 5
Table_71_Weight 5
Table_72_Weight 5
Table_73_Weight 5
Table_74_Weight 5
Table_75_Weight 5
Table_76_Weight 5
Table_77_Weight 5
Table_78_Weight 5
Table_79_Weight 5
Table_80_Weight 5
Table_81_Weight 5
Table_82_Weight 5
Table_83_Weight 5
Table_84_Weight 5
Table_85_Weight 5
Table_86_Weight 5
Table_87_Weight 5
Table_88_Weight 5
Table_89_Weight 5
Table_90_Weight 5
Table_91_Weight 5
Table_92_Weight 5
Table_93_Weight 5
Table_94_Weight 5
Table_95_Weight 5
Table_96_Weight 5
Table_97_Weight 5
Table_98_Weight 5
Table_99_Weight 5
Table_100_Weight 5
Table_101_Weight 5
Table_102_Weight 5
Table_103_Weight 5
Table_104_Weight 5
Table_105_Weight 5
Table_106_Weight 5
Table_107_Weight 5
Table_108_Weight 5
Table_109_Weight 5
Table_110_Weight 5
Table_111_Weight 5
Table_112_Weight 5
Table_113_Weight 5
Table_114_Weight 5
Table_115_Weight 5
Table_116_Weight 5
Table_117_Weight 5
Table_118_Weight 5
Table_119_Weight 5
Table_120_Weight 5
Table_121_Weight 5
Table_122_Weight 5
Table_123_Weight 5
Table_124_Weight 5
Table_125_Weight 5
Table_126_Weight 5
Table_127_Weight 5
Table_128_Weight 5
Table_129_Weight 5
Table_130_Weight 5
Table_131_Weight 5
Table_132_Weight 5
Table_133_Weight 5
Table_134_Weight 5
Table_135_Weight 5
Table_136_Weight 5
Table_137_Weight 5
Table_138_Weight 5
Table_139_Weight 5
Table_140_Weight 5
Table_141_Weight 5
Table_142_Weight 5
Table_143_Weight 5
Table_144_Weight 5
Table_145_Weight 1
Table_146_Weight 1
Table_147_Weight 1
Table_148_Weight 1
Table_149_Weight 1
Table_150_Weight 1
Table_151_Weight 1
Table_152_Weight 1
Table_153_Weight 1
Table_154_Weight 1
Table_155_Weight 1
Table_156_Weight 1
Table_157_Weight 1
Table_158_Weight 1
Table_159_Weight 10
Table_160_Weight 10
Table_161_Weight 10
Table_162_Weight 10
Table_163_Weight 10
Table_164_Weight 10
Table_165_Weight 10
Table_166_Weight 10
Table_167_Weight 10
Table_168_Weight 10
Table_169_Weight 10
Table_170_Weight 10
Table_171_Weight 10
Table_172_Weight 10
Table_173_Weight 10
Table_174_Weight 10
Table_175_Weight 10
Table_176_Weight 10
Table_177_Weight 10
Table_178_Weight 10
Table_179_Weight 10
Table_180_Weight 10
Table_181_Weight 10
Table_182_Weight 10
Table_183_Weight 10
Table_184_Weight 10
Table_185_Weight 10
Table_186_Weight 10
Table_187_Weight 10
Table_188_Weight 10
Table_189_Weight 10
Table_190_Weight 10
Table_191_Weight 10
Table_192_Weight 10
Table_193_Weight 10
Table_194_Weight 10
Table_195_Weight 10
Table_196_Weight 10
Table_197_Weight 10
Table_198_Weight 10
Table_199_Weight 10
Table_200_Weight 10
Table_201_Weight 10
Table_202_Weight 10
Table_203_Weight 10
Table_204_Weight 10
Table_205_Weight 10
Table_206_Weight 10
Table_207_Weight 10
Table_208_Weight 10
Table_209_Weight 10
Table_210_Weight 10
Table_211_Weight 10
Table_212_Weight 10
Table_213_Weight 10

Table_214_Asset_ID 38973
Table_214_Weight 10
Table_215_Asset_ID 38986
Table_216_Asset_ID 38987
Table_217_Asset_ID 38988
Table_218_Asset_ID 38989
Table_219_Asset_ID 38990
Table_220_Asset_ID 38991
Table_221_Asset_ID 38992
Table_222_Asset_ID 39003
Table_223_Asset_ID 39006
Table_224_Asset_ID 39010
Table_225_Asset_ID 39011
Table_226_Asset_ID 39020
Table_227_Asset_ID 39024
Table_228_Asset_ID 39028
Table_229_Asset_ID 39040
Table_230_Asset_ID 39042
Table_231_Asset_ID 39043
Table_232_Asset_ID 39064
Table_233_Asset_ID 39065

Table_215_Weight 1
Table_216_Weight 5
Table_217_Weight 1
Table_218_Weight 5
Table_219_Weight 1
Table_220_Weight 5
Table_221_Weight 5
Table_222_Weight 5
Table_223_Weight 5
Table_224_Weight 5
Table_225_Weight 5
Table_226_Weight 5
Table_227_Weight 5
Table_228_Weight 5
Table_229_Weight 5
Table_230_Weight 5
Table_231_Weight 5
Table_232_Weight 5
Table_233_Weight 5

