GUID efe689336d3a46c9b557283135042fdc
Table_74_Asset_ID 38845
Table_75_Asset_ID 38861
Table_76_Asset_ID 38862
Table_77_Asset_ID 38863
Table_78_Asset_ID 38864
Table_79_Asset_ID 38865
Table_80_Asset_ID 38965
Table_81_Asset_ID 38966
Table_82_Asset_ID 38967
Table_83_Asset_ID 38969
Table_84_Asset_ID 38970
Table_85_Asset_ID 38977
Table_86_Asset_ID 38980

Table_0_Weight 15
Table_1_Weight 20
Table_2_Weight 20
Table_3_Weight 15
Table_4_Weight 20
Table_5_Weight 20
Table_6_Weight 20
Table_7_Weight 20
Table_8_Weight 10
Table_9_Weight 20
Table_10_Weight 10
Table_11_Weight 15
Table_12_Weight 20
Table_13_Weight 15
Table_14_Weight 15
Table_15_Weight 20
Table_16_Weight 15
Table_17_Weight 20
Table_18_Weight 15
Table_19_Weight 20
Table_20_Weight 20
Table_21_Weight 20
Table_22_Weight 15
Table_23_Weight 15
Table_24_Weight 20
Table_25_Weight 20
Table_26_Weight 20
Table_27_Weight 20
Table_28_Weight 20
Table_29_Weight 20
Table_30_Weight 20
Table_31_Weight 15
Table_32_Weight 20
Table_33_Weight 20
Table_34_Weight 20
Table_35_Weight 15
Table_36_Weight 20
Table_37_Weight 20
Table_38_Weight 15
Table_39_Weight 20
Table_40_Weight 20
Table_41_Weight 20
Table_42_Weight 20
Table_43_Weight 20
Table_44_Weight 20
Table_45_Weight 20
Table_46_Weight 20
Table_47_Weight 15
Table_48_Weight 20
Table_49_Weight 20
Table_50_Weight 20
Table_51_Weight 20
Table_52_Weight 15
Table_53_Weight 20
Table_54_Weight 20
Table_55_Weight 20
Table_56_Weight 15
Table_57_Weight 15
Table_58_Weight 20
Table_59_Weight 15
Table_60_Weight 15
Table_61_Weight 20
Table_62_Weight 20
Table_63_Weight 20
Table_64_Weight 15
Table_65_Weight 20
Table_66_Weight 15
Table_67_Weight 20
Table_68_Weight 20
Table_69_Weight 15
Table_70_Weight 20
Table_71_Weight 15
Table_72_Weight 20
Table_73_Weight 20
Table_74_Weight 20
Table_75_Weight 20
Table_76_Weight 20
Table_77_Weight 20
Table_78_Weight 20
Table_79_Weight 20
Table_80_Weight 20
Table_81_Weight 20
Table_82_Weight 20
Table_83_Weight 20
Table_84_Weight 20
Table_85_Weight 20
Table_86_Weight 10

Table_87_Asset_ID 38981
Table_88_Asset_ID 38983
Table_89_Asset_ID 38984
Table_90_Asset_ID 38995
Table_91_Asset_ID 38996
Table_92_Asset_ID 38998
Table_93_Asset_ID 38999
Table_94_Asset_ID 39045
Table_95_Asset_ID 39048
Table_96_Asset_ID 39051
Table_97_Asset_ID 39052
Table_98_Asset_ID 39061

Table_87_Weight 20
Table_88_Weight 20
Table_89_Weight 20
Table_90_Weight 10
Table_91_Weight 15
Table_92_Weight 20
Table_93_Weight 20
Table_94_Weight 20
Table_95_Weight 20
Table_96_Weight 20
Table_97_Weight 10
Table_98_Weight 20
