GUID 4f98777c9742490c9c0f1a04b91eb4c2
Table_0_Weight 10
Table_1_Weight 15
Table_2_Weight 10
Table_3_Weight 10
Table_4_Weight 15
Table_5_Weight 10
Table_6_Weight 15
Table_7_Weight 20
Table_8_Weight 20
Table_9_Weight 20
Table_10_Weight 10
Table_11_Weight 10
Table_12_Weight 10
Table_13_Weight 10
Table_14_Weight 10
Table_15_Weight 10
Table_16_Weight 15
Table_17_Weight 15
Table_18_Weight 15
Table_19_Weight 10
Table_20_Weight 10
Table_21_Weight 10
Table_22_Weight 15
Table_23_Weight 20
Table_24_Weight 20
Table_25_Weight 20
Table_26_Weight 10
Table_27_Weight 10
Table_28_Weight 10
Table_29_Weight 15
Table_30_Weight 15
Table_31_Weight 15
Table_32_Weight 15
Table_33_Weight 10
Table_34_Weight 10
Table_35_Weight 10
Table_36_Weight 10
Table_37_Weight 15
Table_38_Weight 15
Table_39_Weight 10
Table_40_Weight 20
Table_41_Weight 10
Table_42_Weight 10
Table_43_Weight 20
Table_44_Weight 10
Table_45_Weight 10
Table_46_Weight 10
Table_47_Weight 10
Table_48_Weight 10
Table_49_Weight 10
Table_50_Weight 10
Table_51_Weight 10
Table_52_Weight 10
Table_53_Weight 10
Table_54_Weight 10
Table_55_Weight 10
Table_56_Weight 10
Table_57_Weight 10
Table_58_Weight 10
Table_59_Weight 10
Table_60_Weight 10
Table_61_Weight 10
Table_62_Weight 10
Table_63_Weight 10
Table_64_Weight 10
Table_65_Weight 10
Table_66_Weight 10
Table_67_Weight 10
Table_68_Weight 15
Table_69_Weight 10
Table_70_Weight 10
Table_71_Weight 10
Table_72_Weight 20
Table_73_Weight 20
Table_74_Weight 15
Table_75_Weight 15
Table_76_Weight 20
Table_77_Weight 10
Table_78_Weight 10
Table_79_Weight 10
Table_80_Weight 10
Table_81_Weight 10
Table_82_Weight 10
Table_83_Weight 10
Table_84_Weight 10
Table_85_Weight 10
Table_86_Weight 10
Table_87_Weight 10
Table_88_Weight 10
Table_89_Weight 10
Table_90_Weight 10
Table_91_Weight 10
Table_92_Weight 10
Table_93_Weight 10
Table_94_Weight 10
Table_95_Weight 10
Table_96_Weight 10
Table_97_Weight 10
Table_98_Weight 10
Table_99_Weight 10
Table_100_Weight 10
Table_101_Weight 10
Table_102_Weight 10
Table_103_Weight 10
Table_104_Weight 10
Table_105_Weight 10
Table_106_Weight 10
Table_107_Weight 10
Table_108_Weight 10
Table_109_Weight 10
Table_110_Weight 10
Table_111_Weight 10
Table_112_Weight 10
Table_113_Weight 10
Table_114_Weight 10
Table_115_Weight 10
Table_116_Weight 10
Table_117_Weight 10
Table_118_Weight 10
Table_119_Weight 10
Table_120_Weight 10
Table_121_Weight 10
Table_122_Weight 10
Table_123_Weight 10
Table_124_Weight 10
Table_125_Weight 10
Table_126_Weight 10
Table_127_Weight 10
Table_128_Weight 10
Table_129_Weight 10
Table_130_Weight 10
Table_131_Weight 10
Table_132_Weight 10
Table_133_Weight 10
Table_134_Weight 10
Table_135_Weight 10
Table_136_Weight 10
Table_137_Weight 10
Table_138_Weight 10

Table_139_Asset_ID 38965
Table_139_Weight 10
Table_140_Asset_ID 38966
Table_140_Weight 10
